URL,Internet Archive
https://www.wikidata.org/wiki/Q84263196,https://web.archive.org/web/20200914083309/https://www.wikidata.org/wiki/Q84263196
https://w.wiki/auF,https://web.archive.org/web/20200914083312/https://commons.wikimedia.org/wiki/File:Wikidata_item_-_User-friendly_interface_page.png
https://w.wiki/auD,https://web.archive.org/web/20200914083313/https://commons.wikimedia.org/wiki/File:COVID-19_on_Wikidata.svg
https://w.wiki/bYM,https://web.archive.org/web/20200914083315/https://commons.wikimedia.org/wiki/File:Lod-cloud_2020-08-20.svg
https://w.wiki/auE,https://web.archive.org/web/20200914083316/https://commons.wikimedia.org/wiki/File:Wikidata_COVID-19_Languages.svg
https://www.wikidata.org/wiki/Wikidata:Requests_for_permissions/Bot/Edoderoobot_2,https://web.archive.org/web/20200914083317/https://www.wikidata.org/wiki/Wikidata:Requests_for_permissions/Bot/Edoderoobot_2
https://meta.wikimedia.org/wiki/Wiki_Project_Med,https://web.archive.org/web/20200914083317/https://meta.wikimedia.org/wiki/Wiki_Project_Med
https://en.wikipedia.org/wiki/Wikipedia:SWASTHA,https://web.archive.org/web/20200914083318/https://en.wikipedia.org/wiki/Wikipedia:SWASTHA
https://loinc.org/international/,https://web.archive.org/web/20200914083319/https://loinc.org/international/
https://lhncbc.nlm.nih.gov/project/babelmesh-and-pico-linguist,https://web.archive.org/web/20200914083320/https://lhncbc.nlm.nih.gov/project/babelmesh-and-pico-linguist
https://www.wikidata.org/wiki/Wikidata:Requests_for_permissions/Bot/CovidDatahubBot,https://web.archive.org/web/20200914083322/https://www.wikidata.org/wiki/Wikidata:Requests_for_permissions/Bot/CovidDatahubBot
https://www.wikidata.org/w/api.php,https://web.archive.org/web/20200914083323/https://www.wikidata.org/w/api.php
https://www.wikidata.org/wiki/Wikidata:WikiProject_COVID-19,https://web.archive.org/web/20200914083324/https://www.wikidata.org/wiki/Wikidata:WikiProject_COVID-19
https://w.wiki/ayn,https://web.archive.org/web/20200914083325/https://www.wikidata.org/wiki/Category:Properties_with_external-id-datatype
https://w.wiki/ayo,https://web.archive.org/web/20200914083327/https://www.wikidata.org/wiki/Category:All_Properties
https://scholia.toolforge.org/,https://web.archive.org/web/20200914083327/https://scholia.toolforge.org/
https://pubmed.ncbi.nlm.nih.gov/?term=COVID-19,https://web.archive.org/web/20200914083328/https://pubmed.ncbi.nlm.nih.gov/?term=COVID-19
https://tinyurl.com/y6kwrdth,https://web.archive.org/web/20200914083331/https://app.dimensions.ai/discover/publication?search_mode=content&search_text=COVID-19&search_type=kws&search_field=full_search
